id,antimicrobial,Bacteria,Ref,,
betaL-g0288_CMY-22,"Cefotaxime, Ceftazidime, Ampicillin",,DQ256079,CMY-2,
betaL-g0289_CMY-23,"Cefotaxime, Ceftazidime, Ampicillin",,DQ463751,CMY-2,
betaL-g0290_CMY-24,"Cefotaxime, Ceftazidime, Ampicillin",,EF415650,CMY-2,
betaL-g0291_CMY-25,"Cefotaxime, Ceftazidime, Ampicillin",,EU515249,CMY-2,
betaL-g0292_CMY-26,"Cefotaxime, Ceftazidime, Ampicillin",,AB300358,CMY-2,
betaL-g0293_CMY-27,"Cefotaxime, Ceftazidime, Ampicillin",,EU515250,CMY-2,
betaL-g0294_CMY-28,"Cefotaxime, Ceftazidime, Ampicillin",,EF561644,CMY-2,
betaL-g0298_CMY-31,"Cefotaxime, Ceftazidime, Ampicillin",,EF622224,CMY-3,
betaL-g0299_CMY-32,"Cefotaxime, Ceftazidime, Ampicillin",,EU496815,CMY-3,
betaL-g0300_CMY-33,"Cefotaxime, Ceftazidime, Ampicillin",,EU496816,CMY-3,
betaL-g0301_CMY-34,"Cefotaxime, Ceftazidime, Ampicillin",,EF394370,CMY-3,
betaL-g0302_CMY-35,"Cefotaxime, Ceftazidime, Ampicillin",,EF394371,CMY-3,
betaL-g0303_CMY-36,"Cefotaxime, Ceftazidime, Ampicillin",,EU331426,CMY-3,
betaL-g0304_CMY-37,"Cefotaxime, Ceftazidime, Ampicillin",,AB280919,CMY-3,
betaL-g0305a_CMY-38,,,AM931008,_CMY-,
betaL-g0306_CMY-39,"Cefotaxime, Ceftazidime, Ampicillin",,AB372224,CMY-3,
betaL-g0307_CMY-4,"Cefotaxime, Ceftazidime, Ampicillin",,AF420597,CMY-4,
betaL-g0308_CMY-40,"Cefotaxime, Ceftazidime, Ampicillin",,EU515251,CMY-4,
betaL-g0309_CMY-41,"Cefotaxime, Ceftazidime, Ampicillin",,AB429270,CMY-4,
